"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_rivendare_lua_radius" "РАДИУС ПРОВОКАЦИИ:"
		"DOTA_Tooltip_ability_silvername_rivendare"	"БАРОН РИВЕНДЕР"
		"DOTA_Tooltip_ability_silvername_rivendare_Description" "Сильвернейм использует карту призыва Ривендера, который заставляет всех врагов, находящихся рядом с ним, атаковать его."
		"DOTA_Tooltip_ability_silvername_rivendare_schoolboys_duration" "ДЛИТЕЛЬНОСТЬ ПРИЗЫВА:"
		"DOTA_Tooltip_ability_silvername_rivendare_schoolboys_hp" "АТАК ДЛЯ УБИЙСТВА:"
		"DOTA_Tooltip_ability_silvername_rivendare_schoolboys_dmg" "УРОН:"
		"DOTA_Tooltip_modifier_rivendare_lua" "Провокация"
		"DOTA_Tooltip_modifier_rivendare_lua_Description" "Все враги, находящиеся рядом, вынуждены атаковать Ривендера."
		"DOTA_Tooltip_modifier_rivendare_lua_debuff" "Провокация"
		"DOTA_Tooltip_modifier_rivendare_lua_debuff_Description" "Вы находитесь рядом с Ривендером, поэтому вынуждены его атаковать."
		"DOTA_Tooltip_ability_silvername_secret" "СЕКРЕТ: ЛЕДЯНАЯ ГЛЫБА"
		"DOTA_Tooltip_ability_silvername_secret_Description" "Когда здоровье Сильвернейма падает ниже %hp_threshold%%%, срабатывает секрет - герой начинает восстанавливать здоровье в двойном размере от наносимого ему урона."
		"DOTA_Tooltip_ability_silvername_secret_duration" "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_silvername_secret" "Секрет: Ледяная Глыба"
		"DOTA_Tooltip_modifier_silvername_secret_Description" "Герой не может умереть и восстанавливает здоровье в размере 100% от наносимого ему урона."
		"DOTA_Tooltip_ability_silvername_secret_scepter_Description" "При срабатывании способность сбрасывает перезарядки всех других способностей и предметов персонажа."
		"DOTA_Tooltip_ability_silvername_murloc" "МУРЛОК-ПОЛКОВОДЕЦ"
		"DOTA_Tooltip_ability_silvername_murloc_Description" "Сильвернейм призывает мурлока-полководца, который увеличивает урон всем союзникам неподалеку.\nУрон мурлоков по постройкам снижен на %pct_towers%%%."
		"DOTA_Tooltip_ability_silvername_murloc_schoolboys_duration" "ДЛИТЕЛЬНОСТЬ ПРИЗЫВА:"
		"DOTA_Tooltip_ability_silvername_murloc_schoolboys_hp" "ЗДОРОВЬЕ МУРЛОКА:"
		"DOTA_Tooltip_ability_silvername_murloc_schoolboys_dmg" "УРОН МУРЛОКА:"
		"DOTA_Tooltip_ability_hill_troll_rally" "ПОЛКОВОДЕЦ"
		"DOTA_Tooltip_modifier_hill_troll_rally"	"Полководец"
		"DOTA_Tooltip_ability_special_bonus_unique_phoenix_4" "+2 к числу атак для убийства Ривендера"
		"DOTA_Tooltip_ability_special_bonus_unique_phoenix_5" "-2 сек. перезарядки МУРЛОК-ПОЛКОВОДЕЦ"
		"DOTA_Tooltip_ability_special_bonus_unique_phoenix_1" "+2 сек. к длительности СЕКРЕТ: ЛЕДЯНАЯ ГЛЫБА"
		"DOTA_Tooltip_ability_special_bonus_unique_phoenix_2" "+30 к урону от волны ПРОГРЕВ ПОЛЕЙ СРАЖЕНИЙ"
		"DOTA_Tooltip_ability_special_bonus_unique_phoenix_3" "+10 сек. к длительности призыва МУРЛОК-ПОЛКОВОДЕЦ"
		"DOTA_Tooltip_ability_special_bonus_unique_phoenix_6" "+150 к здоровью МУРЛОК-ПОЛКОВОДЕЦ"
		"DOTA_Tooltip_ability_special_bonus_unique_phoenix_dive_damage" "Ривендер выжигает 8% макс. здоровья врагам"
		"DOTA_Tooltip_ability_special_bonus_unique_phoenix_dive_damage_Description" "Врагам в радиусе 300 от Ривендера наносится урон в размере 8% от их макс. здоровья"
		"DOTA_Tooltip_ability_silvername_shard" "ДРУГ ПТИЦ"
		"DOTA_Tooltip_ability_silvername_shard_Description" "Сильвернейм становится ОРЛОМ и взлетает вверх, получая беспрепятственное передвижение."
		"DOTA_Tooltip_ability_silvername_shard_duration" "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_silvername_shard"	"Полёт птицы"
		"DOTA_Tooltip_modifier_silvername_shard_Description"	"Герой имеет беспрепятственное передвижение."
		"DOTA_Tooltip_ability_beastmaster_inner_beast" "СВИНОБРАЗИЯ"
		"DOTA_Tooltip_modifier_beastmaster_inner_beast"						"Свинобразия"
		"DOTA_Tooltip_Facet_phoenix_hotspot"							"ТОПДЕК"
		"DOTA_Tooltip_Facet_phoenix_hotspot_Description"				"Мурлоки могут проходить сквозь других существ."
		"DOTA_Tooltip_ability_silvername_murloc_Facet_phoenix_hotspot"		"Мурлоки могут проходить сквозь других существ."

		"DOTA_Tooltip_modifier_brb_test" "Идёт тест на ЖИМ"
		"DOTA_Tooltip_modifier_test_damage" "Получено урона за жим"
		"DOTA_Tooltip_Facet_pudge_fresh_meat"						"ТРЕНБОЛОН"
		"DOTA_Tooltip_Facet_pudge_fresh_meat_Description" "Ульт КАЧКА - ТРЕНБОЛОН."
		"DOTA_Tooltip_Facet_pudge_rotten_core" "ТЕСТ НА ЖИМ"
		"DOTA_Tooltip_Facet_pudge_rotten_core_Description" "Ульт КАЧКА - ТЕСТ НА ЖИМ."

		"DOTA_Tooltip_ability_macan_r" "ASPHALT 8"
		"DOTA_Tooltip_ability_macan_r_Description" "Маканчик заводит свой М5, начиная жестко шашковать по карте и давить всех противников. Если во время того, как заводится М5, Макану собьют каст, то машина заглохнет и никуда не поедет. Во время поездки в М5 герой невосприимчив к магии. \nУлучшается с Aghanim's Scepter."
		"DOTA_Tooltip_ability_macan_r_scepter_Description" "Машина заводится на секунду раньше, ей становится легче управлять и её скорость увеличивается на 50."
		"DOTA_Tooltip_ability_macan_r_chargeup_time" "ВРЕМЯ ЗАПУСКА ДВИГАТЕЛЯ:"
		"DOTA_Tooltip_ability_macan_r_charge_speed" "СКОРОСТЬ МАШИНЫ:"
		"DOTA_Tooltip_ability_macan_r_max_distance" "РАССТОЯНИЕ ПРОЕЗДА:"
		"DOTA_Tooltip_ability_macan_r_knockback_radius" "РАДИУС СТОЛКНОВЕНИЯ С ПРОТИВНИКОМ:"
		"DOTA_Tooltip_ability_macan_r_knockback_damage" "УРОН ОТ СТОЛКНОВЕНИЯ:"
		"DOTA_Tooltip_ability_macan_r_stun_duration" "ОГЛУШЕНИЕ ОТ СТОЛКНОВЕНИЯ:"
		"DOTA_Tooltip_ability_macan_q" "РАЗЪЕБАТЬ ЧАРТЫ"
		"DOTA_Tooltip_ability_macan_q_Description" "Чтобы залететь в чарты, Маканчик призывает на помощь колонку, которая начинает вращаться вокруг, быстро атакуя ближайших противников."
		"DOTA_Tooltip_ability_macan_q_attack_damage" "УРОН:"
		"DOTA_Tooltip_ability_macan_q_attack_interval" "ИНТЕРВАЛ МЕЖДУ АТАКАМИ:"
		"DOTA_Tooltip_ability_macan_q_roaming_radius" "РАДИУС ПОЛЕТА КОЛОНКИ:"
		"DOTA_Tooltip_ability_macan_q_attack_radius" "РАДИУС АТАКИ КОЛОНКИ:"
		"DOTA_Tooltip_ability_macan_q_roaming_duration" "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_macan_q" "Разъеб чартов"
		"DOTA_Tooltip_modifier_macan_q_Description" "Вокруг вас крутится колонка"
		"DOTA_Tooltip_ability_special_bonus_unique_huskar_4" "+2 сек. к длительности РАЗЪЕБАТЬ ЧАРТЫ"
		"DOTA_Tooltip_ability_special_bonus_unique_axe" "МАШИНА увеличивается в 1.5 раза"
		"DOTA_Tooltip_ability_macan_innate" "КОНКУРЕНЦИЯ"
		"DOTA_Tooltip_ability_macan_innate_Description" "MACAN наносит %crit_bonus%%% урона от ударов по персонажам, выпускающим музыку: ЭЛДЖЕЙ, ДВОРЕЦКОВ, ЛИТВИН, ИВАН ЗОЛО, СЕРЕГА ПИРАТ, 5ОРКА, ИГОРЬ ВИХОРЬКОВ, ЕБАНЬКО."
		"DOTA_Tooltip_ability_macan_e" "ДВОРОВАЯ ЗАКАЛКА"
		"DOTA_Tooltip_ability_macan_e_Description" "Маканчик вспоминает суровые будни на своем районе и ворует у каждого приблизившегося к нему врага единицу силы."
		"DOTA_Tooltip_ability_macan_e_duration" "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_macan_e_radius" "РАДИУС:"
		"DOTA_Tooltip_ability_macan_e_interval" "ИНТЕРВАЛ КРАЖИ:"
		"DOTA_Tooltip_modifier_macan_e" "Украдено силы"
		"DOTA_Tooltip_modifier_macan_e_debuff" "Украдено силы"
		"DOTA_Tooltip_ability_macan_w" "РАЗГОВОР С ХЕЙТЕРОМ"
		"DOTA_Tooltip_ability_macan_w_Description" "Макан хочет серьёзно поговорить со своим хейтером, и для этого он хватает его и всех врагов в радиусе %enemies_radius% около хейтера к себе поближе, оглушая собеседника и нанося ему урон."
		"DOTA_Tooltip_ability_macan_w_impact_damage" "УРОН:"
		"DOTA_Tooltip_ability_macan_w_stun_duration" "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_macan_w_castrange" "МАКС. ДАЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_macan_w_stack_steal" "КОЛИЧЕСТВО ЭФФЕКТОВ:"
		"DOTA_Tooltip_ability_macan_shard" "БРАТКИ"
		"DOTA_Tooltip_ability_macan_shard_Description" "Макан призывает 8 своих братков."
		"DOTA_Tooltip_ability_macan_shard_illusion_duration" "ДЛИТЕЛЬНОСТЬ ИЛЛЮЗИЙ:"
		"DOTA_Tooltip_ability_macan_shard_illusion_outgoing_tooltip" "%УРОН ИЛЛЮЗИЙ:"
		"DOTA_Tooltip_Facet_axe_one_man_army"						"БЛАГОСЛОВЛЕНИЕ РАЙОНА"
		"DOTA_Tooltip_Facet_axe_one_man_army_Description"			"Способность РАЗГОВОР С ХЕЙТЕРОМ накладывает эффекты ДВОРОВАЯ ЗАКАЛКА."
		"DOTA_Tooltip_ability_macan_w_Facet_axe_one_man_army"			"Способность накладывает %stack_steal% эффектов ДВОРОВАЯ ЗАКАЛКА, воруя их у врага."
		"DOTA_Tooltip_ability_macan_q_facet_axe_call_out"  					"Применение способности во время поездки на М5 создаст дополнительную колонку с радиусом, на 500 больше базового."
		"DOTA_Tooltip_Facet_axe_call_out"									"САБВУФЕР"		
		"DOTA_Tooltip_Facet_axe_call_out_Description"						"Применение способности РАЗЪЕБАТЬ ЧАРТЫ во время поездки на М5 создаст дополнительную колонку с большим радиусом полёта."	
		"DOTA_Tooltip_ability_macan_shard_illusion_incoming_damage_total_tooltip" "%УРОН ПО ИЛЛЮЗИЯМ:"
		"DOTA_Tooltip_ability_special_bonus_unique_huskar_5" "-0.1 сек. от интервала атак РАЗЪЕБАТЬ ЧАРТЫ"
		"DOTA_Tooltip_ability_special_bonus_unique_huskar_6" "+80 к урону от РАЗГОВОР С ХЕЙТЕРОМ"
		"DOTA_Tooltip_ability_special_bonus_unique_huskar_7" "-0.4 сек. интервала кражи от ДВОРОВАЯ ЗАКАЛКА"
		"DOTA_Tooltip_ability_special_bonus_unique_axe_4" "+0.5 сек. к оглушению от РАЗГОВОР С ХЕЙТЕРОМ"
		"DOTA_Tooltip_ability_special_bonus_unique_muerta_dead_shot_range" "+20 к урону от РАЗЪЕБАТЬ ЧАРТЫ"
		"DOTA_Tooltip_ability_special_bonus_unique_muerta_calling_hp_regen" "+50 к радиусу ДВОРОВАЯ ЗАКАЛКА"
		

		"DOTA_Tooltip_ability_kirill_q" "ABNORMAL GROWTH"
		"DOTA_Tooltip_ability_kirill_q_Description" "Tung Tung Tung Sahur shrinks in size, gaining additional speed, agility, and the ability to pass through obstacles. \nUpgrades with Aghanim's Scepter."
		"DOTA_Tooltip_ability_kirill_q_scepter_Description" "During the cast of Tung Tung Tung Sahur becomes so small that he cannot be seen."
		"DOTA_Tooltip_ability_kirill_q_move_speed" "%BONUS SPEED:"
		"DOTA_Tooltip_ability_kirill_q_bonus_agility" "%BONUS AGILITY:"
		"DOTA_Tooltip_ability_kirill_q_duration" "DURATION:"
		"DOTA_Tooltip_modifier_kirill_facet_bonus" "Moral Pressure"
		"DOTA_Tooltip_modifier_kirill_facet_bonus_description" "The duration of the ANOMALOUS GROWTH ability is permanently increased by %fMODIFIER_PROPERTY_TOOLTIP% sec."
		"DOTA_Tooltip_ability_kirill_q_Facet_kirill_facet_q" "For each enemy hero killed while this ability is active, its duration is permanently increased by %duration_increase% sec."
		"DOTA_Tooltip_Facet_kirill_facet_q" "MORAL PRESSURE"
		"DOTA_Tooltip_Facet_kirill_facet_q_Description" "Kills permanently increase the duration of the ABNORMAL GROWTH ability."
		"DOTA_Tooltip_modifier_kirill_q" "Abnormal Growth"
		"DOTA_Tooltip_modifier_kirill_q_Description" "Tung Tung Tung Sahur has shrunk in size, his speed and agility have been increased"
		"DOTA_Tooltip_modifier_kirill_w_disarm" "Disarm"
		"DOTA_Tooltip_modifier_kirill_w_mute" "Mute"
		"DOTA_Tooltip_modifier_kirill_w_stun" "Stun"
		"DOTA_Tooltip_modifier_kirill_w_silence" "Silence"
		"DOTA_Tooltip_modifier_kirill_r" "Monitor Broken!"
		"DOTA_Tooltip_modifier_kirill_r_Description" "You have disappeared from the minimap, and your vision and movement speed have been reduced"
		"DOTA_Tooltip_ability_kirill_w" "BRAINROT"
		"DOTA_Tooltip_ability_kirill_w_Description" "Tung Tung Tung Sahur enchants his bat. With each hit, he has a chance to apply one of 4 effects to the enemy: stun, mute, silence, or disarm. \nDoes not work on illusions."
		"DOTA_Tooltip_ability_kirill_w_shard_Description" "The ability works on illusions. Also, when the ability is triggered, an illusion appears that attacks the enemy."
		"DOTA_Tooltip_ability_kirill_w_illusion_duration" "ILLUSION DURATION:"
		"DOTA_Tooltip_ability_kirill_w_illusion_damage_outgoing" "%ILLUSION OUTGOING DAMAGE:"
		"DOTA_Tooltip_ability_kirill_w_illusion_damage_incoming" "%ILLUSION INCOMING DAMAGE:"
		"DOTA_Tooltip_ability_kirill_w_chance" "%CHANCE:"
		"DOTA_Tooltip_ability_kirill_w_stun_duration" "STUN DURATION:"
		"DOTA_Tooltip_ability_kirill_w_mute_duration" "MUTE DURATION:"
		"DOTA_Tooltip_ability_kirill_w_disarm_duration" "DISARM DURATION:"
		"DOTA_Tooltip_ability_kirill_w_silence_duration" "SILENCE DURATION:"
		"DOTA_Tooltip_ability_kirill_e" "TUNG BLOCK"
		"DOTA_Tooltip_ability_kirill_e_Description" "Tung Tung Tung Sahur swings his bat hard, editing the map to create a new wall that stuns opponents and blocks their path." 
		"DOTA_Tooltip_ability_kirill_e_fissure_range" "WALL LENGTH:"
		"DOTA_Tooltip_ability_kirill_e_fissure_duration" "WALL DURATION:"
		"DOTA_Tooltip_ability_kirill_e_stun_duration" "STUN DURATION:"
		"DOTA_Tooltip_ability_kirill_e_damage" "DAMAGE:"
		"DOTA_Tooltip_facet_kirill_facet_e" "TUNG JUMP"
		"DOTA_Tooltip_facet_kirill_facet_e_description" "The hero jumps to the end of the wall from TUNG BLOCK."
		"DOTA_Tooltip_ability_kirill_e_facet_kirill_facet_e" "After using the ability, the hero jumps to the end of the created wall."
		"DOTA_Tooltip_ability_kirill_r" "SMASH MONITOR"
		"DOTA_Tooltip_ability_kirill_r_Description" "Tung Tung Tung Sahur smashes the monitor of all enemies in the target area with a bat, causing them to lose all vision and disappear from the minimap, as well as being slowed and taking damage."
		"DOTA_Tooltip_ability_kirill_r_radius" "RADIUS:"
		"DOTA_Tooltip_ability_kirill_r_duration" "DURATION:"
		"DOTA_Tooltip_ability_kirill_r_damage_tooltip" "DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_slardar_seaborn_sentinel" "KING OF MID"
		"DOTA_Tooltip_modifier_slardar_seaborn_sentinel" "King of Mid"
		"DOTA_Tooltip_modifier_slardar_seaborn_sentinel_Description" "Hero's movement speed, health regeneration, damage and armor have been increased."
		"DOTA_Tooltip_ability_special_bonus_unique_kirill_1" "+{s:bonus_move_speed}% speed of ABNORMAL GROWTH"
		"DOTA_Tooltip_ability_special_bonus_unique_kirill_2" "+{s:bonus_stun_duration} sec. stun duration of TUNG BLOCK"
		"DOTA_Tooltip_ability_special_bonus_unique_kirill_3" "-{s:bonus_AbilityCooldown} sec. cooldown of TUNG BLOCK"
		"DOTA_Tooltip_ability_special_bonus_unique_kirill_4" "+{s:bonus_duration} sec. duration of ABNORMAL GROWTH"
		"DOTA_Tooltip_Ability_special_bonus_unique_kirill_5" "+{s:bonus_chance}% BRAINROT chance"
		"DOTA_Tooltip_ability_special_bonus_unique_kirill_6" "+{s:bonus_duration} sec SMASH MONITOR duration"
		"DOTA_Tooltip_ability_special_bonus_unique_kirill_7" "+{s:bonus_bonus_agility}% ANOMALOUS GROWTH bonus agility"
		"DOTA_Tooltip_ability_special_bonus_unique_kirill_8" "+{s:bonus_fissure_duration} sec TUNG BLOCK wall duration"

		"DOTA_Tooltip_ability_special_bonus_unique_furion_2" "+1 сек. к длительности БИГ ТЕЙСТИ"
		"DOTA_Tooltip_ability_special_bonus_unique_furion_3" "+40% к крит. урону от БИГ ТЕЙСТИ"
		"DOTA_Tooltip_ability_special_bonus_unique_furion_4" "+75 к дальности атаки ТРЕНБОЛОН / +1 сек. к длит-ти ТЕСТ НА ЖИМ"
		"DOTA_Tooltip_ability_special_bonus_unique_furion_5" "+100 к мин./макс. урону от ЧИСТЕЙШЕГО БЕЛКА"
		"DOTA_Tooltip_ability_special_bonus_unique_gyrocopter_2" "НЕРФ ворует бонусы"
		"DOTA_Tooltip_modifier_worstsup_w_buff" "Нерф"
		"DOTA_Tooltip_modifier_worstsup_w_buff_Description" "На врага наложен нерф. Уменьшение показателей противника прибавляется к вашим."

		"DOTA_Tooltip_facet_dvoreckov_facet_magic"								"МЕТОВЫЙ ПРОКАСТЕР"		
		"DOTA_Tooltip_facet_dvoreckov_facet_magic_Description"					"Активные сферы даруют ДВОРЕЦКОВУ <font color='#7998b5'>восстановление здоровья</font>, <font color='#d671a9'>уменьшение перезарядок</font> и <font color='#cabe68'>доп. урон от заклинаний</font>."
		"DOTA_Tooltip_facet_dvoreckov_facet_phys"								"ПО СТАРИНОЧКЕ"		
		"DOTA_Tooltip_facet_dvoreckov_facet_phys_Description"					"Активные сферы даруют ДВОРЕЦКОВУ <font color='#7998b5'>восстановление здоровья</font>, <font color='#d671a9'>скорость атаки</font> и <font color='#cabe68'>урон от атак</font>."
		"DOTA_Tooltip_ability_dvoreckov_q" "РЭП"
		"DOTA_Tooltip_ability_dvoreckov_q_Description" "Дворецков берёт сферу рэпа в качестве ингридиента. Рэп повышает регенерацию здоровья владельца."
		"DOTA_Tooltip_ability_dvoreckov_q_health_regen_per_instance" "РЕГЕНЕРАЦИЯ ЗДОРОВЬЯ ЗА СФЕРУ:"
		"DOTA_Tooltip_ability_dvoreckov_w" "АЛКОГОЛЬ"
		"DOTA_Tooltip_ability_dvoreckov_w_Description" "Дворецков берёт сферу АЛКОГОЛЯ в качестве ингридиента. АЛКОГОЛЬ повышает скорость передвижения владельца."
		"DOTA_Tooltip_ability_dvoreckov_w_attack_speed_per_instance" "СКОРОСТЬ АТАКИ ЗА СФЕРУ:"
		"DOTA_Tooltip_ability_dvoreckov_w_move_speed_per_instance" "%СКОРОСТЬ ПЕРЕДВИЖЕНИЯ ЗА СФЕРУ:"
		"DOTA_Tooltip_ability_dvoreckov_w_cdr" "%УМЕНЬШЕНИЕ ПЕРЕЗАРЯДОК ЗА СФЕРУ:"
		"DOTA_Tooltip_ability_dvoreckov_e" "НИКОТИН"
		"DOTA_Tooltip_ability_dvoreckov_e_Description" "Дворецков берёт сферу НИКОТИНА в качестве ингридиента."
		"DOTA_Tooltip_ability_dvoreckov_e_bonus_damage_per_instance" "УРОН ЗА СФЕРУ:"
		"DOTA_Tooltip_ability_dvoreckov_e_dmg" "%ДОП. УРОН ОТ ЗАКЛИНАНИЙ ЗА СФЕРУ:"
		"DOTA_Tooltip_ability_dvoreckov_e_facet_dvoreckov_facet_phys"	"Каждая сфера увеличивает урон от атак."
		"DOTA_Tooltip_ability_dvoreckov_e_facet_dvoreckov_facet_magic"	"Каждая сфера увеличивает урон от заклинаний."
		"DOTA_Tooltip_ability_dvoreckov_w_facet_dvoreckov_facet_phys"	"Каждая сфера увеличивает скорость атаки."
		"DOTA_Tooltip_ability_dvoreckov_w_facet_dvoreckov_facet_magic"	"Каждая сфера уменьшает перезарядку способностей и предметов."
		"DOTA_Tooltip_ability_dvoreckov_wwe" "ПЕРЕДОЗ"
		"DOTA_Tooltip_ability_dvoreckov_wwe_Description" "Дворецков переборщил со снюсом и алкоголем, из-за чего от него начало нести за километр. Вонь наносит урон врагам вокруг него и замедляет их. \n <font color='#FFFFFF'> Урон зависит от уровня способности АЛКОГОЛЬ, а замедление передвижения - от уровня способности НИКОТИН </font>"
		"DOTA_Tooltip_ability_dvoreckov_wwe_rot_radius" "РАДИУС:"
		"DOTA_Tooltip_ability_dvoreckov_wwe_rot_slow" "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_dvoreckov_wwe_rot_damage_tooltip" "УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_dvoreckov_wwe_maxhealth_dmg" "%УРОН В СЕКУНДУ ОТ МАКС. ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_dvoreckov_wwe_tooltip_key" "%МАНЫ В СЕКУНДУ:"
		"DOTA_Tooltip_ability_dvoreckov_r" "СМЕШАТЬ"
		"DOTA_Tooltip_ability_dvoreckov_r_Description" "Дворецков смешивает выбранные ингридиенты и получает новую способность."
		"DOTA_Tooltip_ability_dvoreckov_r_scepter_Description" "Убирает перезарядку способности."
		"DOTA_Tooltip_ability_dvoreckov_qqq" "ИСПИТЬ ЧАЙ"
		"DOTA_Tooltip_ability_dvoreckov_qqq_Description" "Дворецков высасывает запасы чая с врага. \n <font color='#FFFFFF'> Высасываемая мана в секунду и замедление зависят от уровня способности РЭП </font>"
		"DOTA_Tooltip_ability_dvoreckov_qqq_duration" "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_dvoreckov_qqq_mana_per_second" "МАНА В СЕКУНДУ:"
		"DOTA_Tooltip_ability_dvoreckov_qqq_movespeed" "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_dvoreckov_qqq_shard_description" "Увеличивает число целей способности на 2. Также увеличивает расстояние разрыва и замедление передвижения."
		"DOTA_Tooltip_modifier_dvoreckov_qqq" "Испить чай"
		"DOTA_Tooltip_modifier_dvoreckov_qqq_Description" "Дворецков высасывает вашу ману"
		"DOTA_Tooltip_ability_dvoreckov_eee" "ЗАКИНУТЬ СНЮС"
		"DOTA_Tooltip_ability_dvoreckov_eee_Description" "Дворецков закидывает снюс и начинает стрелять по врагам. Выстрелы снижают сопротивление магии врагов.\n <font color='#FFFFFF'> Урон, бонус к дальности атаки и снижение сопротивления магии зависят от уровня способности НИКОТИН. </font>"
		"DOTA_Tooltip_ability_dvoreckov_eee_buff_duration_tooltip" "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_dvoreckov_eee_damage" "УРОН ОТ ВЫСТРЕЛА:"
		"DOTA_Tooltip_ability_dvoreckov_eee_buffed_attacks" "КОЛИЧЕСТВО ВЫСТРЕЛОВ:"
		"DOTA_Tooltip_ability_dvoreckov_eee_attack_range_bonus" "ДОП. ДАЛЬНОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_dvoreckov_eee_attack_speed_slow_per_stack" "%СНИЖЕНИЕ СОПРОТИВЛЕНИЯ МАГИИ ЗА ВЫСТРЕЛ:"
		"DOTA_Tooltip_ability_dvoreckov_eee_slow_duration" "ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
		"DOTA_Tooltip_ability_dvoreckov_wee" "Я ДРОЧУ..."
		"DOTA_Tooltip_ability_dvoreckov_wee_Description" "Дворецков начинает дрочить, превращаясь в зомби и получая дополнительную силу в зависимости от его текущей. \n <font color='#FFFFFF'> Процент получаемой силы зависит от уровня способности НИКОТИН. </font>"
		"DOTA_Tooltip_ability_dvoreckov_wee_duration" "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_dvoreckov_wee_str_percentage" "%БОНУС К СИЛЕ:"
		"DOTA_Tooltip_ability_dvoreckov_qee" "ПОШЛА ТЫ НАХУЙ!"
		"DOTA_Tooltip_ability_dvoreckov_qee_Description" "Дворецков шлёт врага нахуй, накладывает на него безмолвие и наносит ему урон. \n <font color='#FFFFFF'> Длительность безмолвия зависит от уровня способности РЭП, а урон - от уровня способности НИКОТИН. </font>"
		"DOTA_Tooltip_ability_dvoreckov_qee_silence_duration" "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_dvoreckov_qee_damage" "УРОН:"
		"DOTA_Tooltip_ability_dvoreckov_qqe" "ПОЗВОНИТЬ ШАЛАВЕ"
		"DOTA_Tooltip_ability_dvoreckov_qqe_Description" "Спустя секунду, Дворецков может переместиться прямо на ебало врагу, оглушив его. \n <font color='#FFFFFF'> Урон зависит от уровня способности НИКОТИН, а длительность оглушения - от уровня способности РЭП. </font>"
		"DOTA_Tooltip_ability_dvoreckov_qqe_radius" "РАДИУС:"
		"DOTA_Tooltip_ability_dvoreckov_qqe_base_damage" "УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_dvoreckov_qqe_land_damage" "УРОН ПРИ ПРИЗЕМЛЕНИИ:"
		"DOTA_Tooltip_ability_dvoreckov_qqe_land_stun_duration" "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_dvoreckov_qqw" "УГАДЫВАЮ"
		"DOTA_Tooltip_ability_dvoreckov_qqw_Description" "...Я угадываю, когда жать инвиз, \n Ты пришёл без дастов? Сука, обосрись! \nВо время невидимости эффекты активных сфер увеличиваются вдвое. \n <font color='#FFFFFF'> Длительность невидимости зависит от уровня способности РЭП. </font>"
		"DOTA_Tooltip_ability_dvoreckov_qqw_duration" "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_dvoreckov_qqw_enemy_slow" "%ЗАМЕДЛЕНИЕ ПРОТИВНИКОВ:"
		"DOTA_Tooltip_ability_dvoreckov_qqw_self_slow" "%ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_modifier_dvoreckov_q" "Рэп"
		"DOTA_Tooltip_modifier_dvoreckov_q_Description" "Дворецков лучший музыкант"
		"DOTA_Tooltip_modifier_dvoreckov_w" "Алкоголь"
		"DOTA_Tooltip_modifier_dvoreckov_w_Description" "Возможны последствия в виде встречи с фаянсовым другом..."
		"DOTA_Tooltip_modifier_dvoreckov_e" "Никотин"
		"DOTA_Tooltip_modifier_dvoreckov_e_Description" "Без него не получится прожить и дня"
		"DOTA_Tooltip_modifier_dvoreckov_wee" "ЗОНДБИ"
		"DOTA_Tooltip_modifier_dvoreckov_wwe" "Смердючий перегар"
		"DOTA_Tooltip_modifier_dvoreckov_qqw" "Наебал врагов"
		"DOTA_Tooltip_modifier_dvoreckov_qqw_Description" "Эффекты от активных сфер увеличены в 2 раза"
		"DOTA_Tooltip_modifier_dvoreckov_qqw_debuff" "Дворецков вас жестко наебал"
		"DOTA_Tooltip_modifier_dvoreckov_qww" "Вас хуёвит от честной водки"
		"DOTA_Tooltip_modifier_dvoreckov_eee" "Выстрелы Дворецкова"
		"DOTA_Tooltip_modifier_dvoreckov_eee_debuff" "Выстрелы Дворецкова"
		"DOTA_Tooltip_ability_dvoreckov_qww"       "Честная водка"
